Id	tvdbId	imdbId	seriesId	nameEn	nameRu	status	firstAired	network	seazons	lastEpisode	rating	lastShow	airedEpisodeNumber	episodeName
1	80379	tt0898266	58053	The Big Bang Theory	Теория большого взрыва	Continuing	9/24/2007	CBS	12	256	8.8	TBD	TBD	TBD
2	296762	tt0475784	194892	Westworld	Западный мир	Continuing	10/2/2016	HBO	2	22	8.9	TBD	TBD	TBD
3	161511	tt1586680	78143	Shameless (US)	Бесстыжие	Continuing	1/9/2011	Showtime	9	112	9	TBD	TBD	TBD
4	277165	tt2575988	3072410	Silicon Valley	Силиконовая долина	Continuing	4/6/2014	HBO	5	49	8.8	TBD	TBD	TBD
5	253463	tt2085059	81497	Black Mirror	Черное зеркало	Continuing	12/4/2011	Netflix	4	19	9	TBD	TBD	TBD
6	121361	tt0944947	121361	Game of Thrones	Игра престолов	Continuing	4/17/2011	HBO	7	107	9.5	TBD	TBD	TBD
7	302204	tt5135336	999999	The Method	Метод	Continuing	10/18/2015	Первый канал	1	16	7.8	TBD	TBD	TBD
8	338946	tt6586318	205155	Patrick Melrose	Патрик Мелроз	Ended	5/12/2018	Showtime	1	5	0	6/9/2018	5	Наконец
9	342040	tt7768848	999999	Wild Wild Country	Дикий Дикий мир	Ended	3/16/2018	Netflix	1	6	0	3/16/2018	6	Part 6
10	153021	tt1520211	999999	The Walking Dead	Ходячие мертвецы	Continuing	10/31/2010	AMC	9	173	9	TBD	TBD	TBD
11	328535	tt6470396	999999	Champions	Чемпионы	Ended	3/8/2018	NBC	1	10	6	5/25/2018	9	Opening Night
12	331821	tt6474236	999999	The Looming Tower	Призрачная башня	Ended	2/28/2018	Hulu	1	10	9	4/18/2018	10	11 Сентября
13	313999	tt4288182	200487	Atlanta	Атланта	Continuing	9/6/2016	FX (US)	3	22	8.5	TBD	TBD	TBD
14	340959	tt7016936	999999	Killing Eve		Continuing	4/8/2018	BBC America	1	8	8	TBD	TBD	TBD
15	257655	tt2193021	158560	Arrow	Стрела	Continuing	10/10/2012	The CW	7	156	8.2	TBD	TBD	TBD
16	280619	tt3230854	193822	The Expanse	Экспансия	Continuing	11/23/2015	Amazon	4	64	8.7	TBD	TBD	TBD
17	305288	tt4574334	999999	Stranger Things	Загадочные события	Continuing	7/15/2016	Netflix	2	24	9.2	TBD	TBD	TBD
18	279536	tt4270492	195793	Billions	Миллиарды	Continuing	1/17/2016	Showtime	3	44	8.6	TBD	TBD	TBD
19	273181	tt3032476	193443	Better Call Saul	Лучше звоните Солу	Continuing	2/8/2015	AMC	4	48	8.9	TBD	TBD	TBD
20	292157	tt3647998	999999	Taboo (2017)	Табу	Continuing	1/7/2017	BBC One	1	8	8.8	TBD	TBD	TBD
21	331980	tt5675620	999999	Marvel's The Punisher	Каратель	Continuing	11/17/2017	Netflix	1	13	9.5	TBD	TBD	TBD
