468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	ываываыав	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	след	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	след	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	нация z	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C		ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C		ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C		ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C		ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	воронины	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	простоквашино	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
True	468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	стрела	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
True	468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	тбв	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
True	468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	кяввм	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
True	468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	атланта	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
True	468F375A4A728CBB299ADEC2EFAE67F25B5D8694223508B783EA9BA08601600C	симпсоны	ru.yandex.searchplugin/7.16 (none none; android 4.4.2)	ru-RU
